,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
0,1823 El Padro Dr,"Livermore, CA 94550",1145000,3Beds,2Baths,"1,641Sq Ft",35 / 100,0,79 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1823-El-Padro-Dr-94550/home/1009329
1,3461 Joaquin Miller Rd,"Oakland, CA 94602",1079000,3Beds,2Baths,"1,791Sq Ft",16 / 100,32 / 100,7 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/3461-Joaquin-Miller-Rd-94602/home/1495830
2,39951 Fremont Blvd #325,"Fremont, CA 94538",799000,2Beds,2Baths,"1,465Sq Ft",57 / 100,42 / 100,53 / 100,85Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/39951-Fremont-Blvd-94538/unit-325/home/1511710
3,2947 Blanding Ct,"Hayward, CA 94541",949000,3Beds,1.5Baths,"1,092Sq Ft",17 / 100,0,27 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/2947-Blanding-Ct-94541/home/957823
4,2632 Admiral Cir,"Hayward, CA 94545",1399000,3Beds,2.5Baths,"2,046Sq Ft",41 / 100,37 / 100,51 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/2632-Admiral-Cir-94545/home/114078377
5,28824 Vista Grande,"Hayward, CA 94544",1599000,4Beds,3Baths,"2,734Sq Ft",26 / 100,48 / 100,11 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/28824-Vista-Grande-Dr-94544/home/143116840
6,1310 31St Ave,"Oakland, CA 94601",849000,6Beds,5Baths,"2,558Sq Ft",98 / 100,75 / 100,81 / 100,0,https://www.redfin.com//CA/Oakland/1310-31st-Ave-94601/home/1524317
7,27072 Belfast Ln,"Hayward, CA 94542",1325000,4Beds,3Baths,"2,171Sq Ft",53 / 100,28 / 100,24 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/27072-Belfast-Ln-94542/home/1007655
8,4647 Granada Way,"UNION CITY, CA 94587",799888,3Beds,1.5Baths,"1,155Sq Ft",44 / 100,0,49 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Union-City/4647-Granada-Way-94587/home/902440
9,1366 Inglewood St,"Hayward, CA 94544",899000,3Beds,1Bath,"1,414Sq Ft",43 / 100,39 / 100,53 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/1366-Inglewood-St-94544/home/1009483
10,37409 Ortega Cmn,"FREMONT, CA 94536",1488000,3Beds,4Baths,"1,967Sq Ft",67 / 100,40 / 100,71 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/37409-Ortega-Cmn-94536/home/168824163
11,4415 Masterson St,"Oakland, CA 94619",749000,2Beds,1Bath,924Sq Ft,82 / 100,50 / 100,50 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4415-Masterson-St-94619/home/550095
12,222 Broadway #914,"Oakland, CA 94607",665000,1Bed,1Bath,735Sq Ft,98 / 100,84 / 100,81 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/222-Broadway-94607/unit-914/home/28696730
13,2830 Myrtle St,"Oakland, CA 94608",899000,4Beds,3Baths,"2,017Sq Ft",90 / 100,63 / 100,99 / 100,48Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2830-Myrtle-St-94608/home/110220975
14,24494 Leona,"Hayward, CA 94542",949000,4Beds,2Baths,"1,801Sq Ft",70 / 100,55 / 100,31 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/24494-Leona-Dr-94542/home/1784313
15,14822 Lark St,"SAN LEANDRO, CA 94578",859888,2Beds,1Bath,"1,018Sq Ft",82 / 100,50 / 100,53 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/14822-Lark-St-94578/home/1449748
16,40219 Laiolo Rd,"FREMONT, CA 94538",1480000,3Beds,2Baths,"1,169Sq Ft",52 / 100,36 / 100,52 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/40219-Laiolo-Rd-94538/home/1109299
17,1007 41St St #213,"Emeryville, CA 94608",549000,1Bed,1Bath,969Sq Ft,92 / 100,69 / 100,98 / 100,48Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1007-41st-St-94608/unit-213/home/12115015
18,929 Dwight Way,"Berkeley, CA 94710",885000,3Beds,2Baths,"1,102Sq Ft",87 / 100,55 / 100,95 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Berkeley/929-Dwight-Way-94710/home/1882080
19,32577 Monterey Ct,"Union City, CA 94587",2550000,5Beds,3Baths,"3,028Sq Ft",9 / 100,0,47 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Union-City/32577-Monterey-Ct-94587/home/973625
20,324 45Th St,"Oakland, CA 94609",619000,2Beds,1Bath,620Sq Ft,92 / 100,62 / 100,82 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/324-45th-St-94609/home/17185493
21,7998 Phaeton Dr,"Oakland, CA 94605",1200000,3Beds,2.5Baths,"2,286Sq Ft",14 / 100,19 / 100,15 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/7998-Phaeton-Dr-94605/home/1543847
22,1480 Randy St,"San Leandro, CA 94579",869000,3Beds,1.5Baths,"1,166Sq Ft",63 / 100,33 / 100,67 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/1480-Randy-St-94579/home/734818
23,992 44Th St,"Oakland, CA 94608",1649000,8Beds,4Baths,"3,382Sq Ft",91 / 100,69 / 100,98 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/992-44th-St-94608/home/528042
24,996 44Th St,"Oakland, CA 94608",1495000,8Beds,4Baths,"3,132Sq Ft",91 / 100,69 / 100,98 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/996-44th-St-94608/home/840995
25,1168 Marlys Cmn,"Livermore, CA 94550",998000,3Beds,2.5Baths,"1,625Sq Ft",76 / 100,0,84 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1168-Marlys-Cmn-94550/home/781014
26,865 Tranquility Cir #4,"Livermore, CA 94551",995000,3Beds,3Baths,"1,508Sq Ft",23 / 100,0,51 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/865-Tranquility-Cir-94551/unit-4/home/167293315
27,713 Ironwood Rd,"Alameda, CA 94502",1100000,2Beds,2.5Baths,"1,534Sq Ft",57 / 100,30 / 100,81 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Alameda/713-Ironwood-Rd-94502/home/1988692
28,77 Shaniko Cmn,"Fremont, CA 94539",799000,3Beds,2Baths,"1,170Sq Ft",78 / 100,34 / 100,68 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/77-Shaniko-Cmn-94539/unit-20/home/1014737
29,4522 Sandyford Ct,"Dublin, CA 94568",1125000,3Beds,3Baths,"1,693Sq Ft",79 / 100,0,77 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/4522-Sandyford-Ct-94568/home/1255250
